price,date,dish,business
3.80,28.06.2017,Karotten-Ingwersuppe mit Granatapfelkernen ,albert
5.20,28.06.2017,Spargel-Kartoffel-Tortilla mit Kerbel ,albert
6.00,28.06.2017,Wels im Sesammantel auf Asiagemüse & Wasabi-Kartoffelpüree,albert
3.90,29.06.2017,Andalusische Gazpacho,albert
5.00,29.06.2017,Gemüse-Albondigas mit Salsa & Gemüsereis ,albert
5.80,29.06.2017,Jägerschnitzel mit Tomatensauce & Spirelli,albert
3.90,30.06.2017,Schwammerlsuppe mit Croutons,albert
5.00,30.06.2017,"Gefüllte Zucchini mit Tomate & Mozzarella, Kräutersauce & Reis ",albert
5.80,30.06.2017,Paprika-Schweinegeschnetzeltes mit Semmelknödel oder Farfalle,albert
7.00,30.06.2017,"Nordlicht mit Schmand, Lachs, Meerrettich & Frühlingszwiebeln",albert
5.50,30.06.2017,Klassisch mit Speck & Zwiebeln,albert
5.50,30.06.2017,"Mozzarella, Tomate & frischer Basilikum",albert
6.00,30.06.2017,"Rucola, Serranoschinken & Parmesan",albert
6.00,30.06.2017,Thunfisch & Zwiebeln,albert
3.90,26.06.2017,Sellerie-Apfelcremesuppe mit Croutons ,albert
5.00,26.06.2017,Vegetarische Moussaka mit Auberginen & Hirtenkäse  ,albert
5.80,26.06.2017,"Hähnchenbrust überbacken mit Olive, Tomate, Zwiebellauch,",albert
3.90,27.06.2017,Geflügelcremesuppe mit Schnittlauch,albert
5.00,27.06.2017,Gemüse-Lasagne mit Mozzarella überbacken & Rucola ,albert
5.80,27.06.2017,"Gyros mit Tomatenreis, Krautsalat & Tzaziki",albert
3.80,28.06.2017,Karotten-Ingwersuppe mit Granatapfelkernen ,albert
5.20,28.06.2017,Spargel-Kartoffel-Tortilla mit Kerbel ,albert
6.00,28.06.2017,Wels im Sesammantel auf Asiagemüse & Wasabi-Kartoffelpüree,albert
3.90,29.06.2017,Andalusische Gazpacho,albert
5.00,29.06.2017,Gemüse-Albondigas mit Salsa & Gemüsereis ,albert
5.80,29.06.2017,Jägerschnitzel mit Tomatensauce & Spirelli,albert
3.90,30.06.2017,Schwammerlsuppe mit Croutons,albert
5.00,30.06.2017,"Gefüllte Zucchini mit Tomate & Mozzarella, Kräutersauce",albert
5.80,30.06.2017,Paprika-Schweinegeschnetzeltes mit Semmelknödel,albert
price,date,dish,business
,26.06.2017,Geschnetzeltes Züricher Art mit Champignons und Bandnudeln,esswirtschaft
,27.06.2017,Geschnetzeltes Züricher Art mit Champignons und Bandnudeln,esswirtschaft
,28.06.2017,Geschnetzeltes Züricher Art mit Champignons und Bandnudeln,esswirtschaft
,29.06.2017,Geschnetzeltes Züricher Art mit Champignons und Bandnudeln,esswirtschaft
,30.06.2017,Geschnetzeltes Züricher Art mit Champignons und Bandnudeln,esswirtschaft
,26.06.2017,"Blattsalat mit Speck, Ei, Croûtons und Kartoffel-Dressing",esswirtschaft
,27.06.2017,"Blattsalat mit Speck, Ei, Croûtons und Kartoffel-Dressing",esswirtschaft
,28.06.2017,"Blattsalat mit Speck, Ei, Croûtons und Kartoffel-Dressing",esswirtschaft
,29.06.2017,"Blattsalat mit Speck, Ei, Croûtons und Kartoffel-Dressing",esswirtschaft
,30.06.2017,"Blattsalat mit Speck, Ei, Croûtons und Kartoffel-Dressing",esswirtschaft
,26.06.2017,"Graupensalat im Glas, mit Möhren, Sellerie,  Zucchini, Koriander, Sultaninen und Currydressing mit Ingwer**",esswirtschaft
,27.06.2017,"Graupensalat im Glas, mit Möhren, Sellerie,  Zucchini, Koriander, Sultaninen und Currydressing mit Ingwer**",esswirtschaft
,28.06.2017,"Graupensalat im Glas, mit Möhren, Sellerie,  Zucchini, Koriander, Sultaninen und Currydressing mit Ingwer**",esswirtschaft
,29.06.2017,"Graupensalat im Glas, mit Möhren, Sellerie,  Zucchini, Koriander, Sultaninen und Currydressing mit Ingwer**",esswirtschaft
,30.06.2017,"Graupensalat im Glas, mit Möhren, Sellerie,  Zucchini, Koriander, Sultaninen und Currydressing mit Ingwer**",esswirtschaft
,26.06.2017,Scharfe Kichererbsensuppe mit Schweinefleisch,esswirtschaft
,27.06.2017,Scharfe Kichererbsensuppe mit Schweinefleisch,esswirtschaft
,28.06.2017,Scharfe Kichererbsensuppe mit Schweinefleisch,esswirtschaft
,29.06.2017,Scharfe Kichererbsensuppe mit Schweinefleisch,esswirtschaft
,30.06.2017,Scharfe Kichererbsensuppe mit Schweinefleisch,esswirtschaft
,26.06.2017,Kürbis-Süßkartoffeltopf,esswirtschaft
,27.06.2017,Kürbis-Süßkartoffeltopf,esswirtschaft
,28.06.2017,Kürbis-Süßkartoffeltopf,esswirtschaft
,29.06.2017,Kürbis-Süßkartoffeltopf,esswirtschaft
,30.06.2017,Kürbis-Süßkartoffeltopf,esswirtschaft
,26.06.2017,Vegane Fenchel-Tomatensuppe,esswirtschaft
,27.06.2017,Vegane Fenchel-Tomatensuppe,esswirtschaft
,28.06.2017,Vegane Fenchel-Tomatensuppe,esswirtschaft
,29.06.2017,Vegane Fenchel-Tomatensuppe,esswirtschaft
,30.06.2017,Vegane Fenchel-Tomatensuppe,esswirtschaft
,26.06.2017,"Putengeschnetzeltes in Bananen-Ingwer-Milch, dazu Karottenbulgur",esswirtschaft
,27.06.2017,"Beamtenstippe mit Markerbsen, dazu Salzkartoffeln",esswirtschaft
,28.06.2017,Versteckte Bolognese mit Hackfleisch gefüllte Teigtaschen in Tomatenragout,esswirtschaft
