"ingredients","price","location","business","dish","date"
"bio","7.50","Adlershof","Jouis Nour","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","14.7.2017"
"bio;vegetarian","5.90","Adlershof","Jouis Nour","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","14.7.2017"
"bio;vegetarian","4.00","Adlershof","Jouis Nour","Zucchinicremesuppe mit gerösteten Haferflocken","14.7.2017"
"ingredients","price","location","business","dish","date"
"","4,70","Alexanderplatz","Suppencult","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","10.07.2017"
"","4,70","Alexanderplatz","Suppencult","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","11.07.2017"
"","4,70","Alexanderplatz","Suppencult","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","12.07.2017"
"","4,70","Alexanderplatz","Suppencult","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","13.07.2017"
"","4,70","Alexanderplatz","Suppencult","Kartoffelschnitz mit Rindfleisch, Spätzle, Möhren, Sellerie, Lauch, Sahne und frischer Petersilie","14.07.2017"
"","4,30","Alexanderplatz","Suppencult","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","10.07.2017"
"","4,30","Alexanderplatz","Suppencult","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","11.07.2017"
"","4,30","Alexanderplatz","Suppencult","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","12.07.2017"
"","4,30","Alexanderplatz","Suppencult","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","13.07.2017"
"","4,30","Alexanderplatz","Suppencult","Bologneser Reistopf mit Hackfleisch, Paprika, Zucchini, Sahne und frischer Petersilie","14.07.2017"
"","4,40","Alexanderplatz","Suppencult","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","10.07.2017"
"","4,40","Alexanderplatz","Suppencult","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","11.07.2017"
"","4,40","Alexanderplatz","Suppencult","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","12.07.2017"
"","4,40","Alexanderplatz","Suppencult","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","13.07.2017"
"","4,40","Alexanderplatz","Suppencult","Bouillabaisse Fischsuppe mit Seelachsfilet, Möhren, Zwiebeln, Fenchel, frischen Tomaten und Schnittlauch","14.07.2017"
"","5,50","Alexanderplatz","Suppencult","Hausgemachtes Hühnerfrikassee mit Spargel, Erbsen, Möhren, Champigons, dazu Reis und frische Petersilie","10.07.2017"
"","5,50","Alexanderplatz","Suppencult","Hausgemachtes Hühnerfrikassee mit Spargel, Erbsen, Möhren, Champigons, dazu Reis und frische Petersilie","11.07.2017"
"","5,50","Alexanderplatz","Suppencult","Hausgemachtes Hühnerfrikassee mit Spargel, Erbsen, Möhren, Champigons, dazu Reis und frische Petersilie","12.07.2017"
"","5,50","Alexanderplatz","Suppencult","Hausgemachtes Hühnerfrikassee mit Spargel, Erbsen, Möhren, Champigons, dazu Reis und frische Petersilie","13.07.2017"
