"date","business","dish","price"
"13.07.2017","esswirtschaft","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing*",""
"14.07.2017","esswirtschaft","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing*",""
"10.07.2017","esswirtschaft","Tunesische Currysuppe mit Huhn",""
"11.07.2017","esswirtschaft","Tunesische Currysuppe mit Huhn",""
"12.07.2017","esswirtschaft","Tunesische Currysuppe mit Huhn",""
"13.07.2017","esswirtschaft","Tunesische Currysuppe mit Huhn",""
"14.07.2017","esswirtschaft","Tunesische Currysuppe mit Huhn",""
"10.07.2017","esswirtschaft","Möhrensuppe mit Pute",""
"11.07.2017","esswirtschaft","Möhrensuppe mit Pute",""
"12.07.2017","esswirtschaft","Möhrensuppe mit Pute",""
"13.07.2017","esswirtschaft","Möhrensuppe mit Pute",""
"14.07.2017","esswirtschaft","Möhrensuppe mit Pute",""
"10.07.2017","esswirtschaft","Mediterrane Ratatouillesuppe",""
"11.07.2017","esswirtschaft","Mediterrane Ratatouillesuppe",""
"12.07.2017","esswirtschaft","Mediterrane Ratatouillesuppe",""
"13.07.2017","esswirtschaft","Mediterrane Ratatouillesuppe",""
"14.07.2017","esswirtschaft","Mediterrane Ratatouillesuppe",""
"10.07.2017","esswirtschaft","Curry-Lamm-Kartoffeln mit Kichererbsen und Basmatireis",""
"11.07.2017","esswirtschaft","Kasselernacken mit Sauerkraut, dazu Kartoffeln",""
"12.07.2017","esswirtschaft","Schweinefleisch Hoi Sin mit Gemüse, dazu Mie Nudeln",""
"13.07.2017","esswirtschaft","Jägerschnitzel mit Tomatensauce und Spiralnudeln",""
"14.07.2017","esswirtschaft","Hokifilet Müllerinnen Art  in Honig-Senf-Sauce, dazu Reis",""
"10.07.2017","suppencult","Mexikanischer Salat mit Kidney Bohnen, Mais, Oliven, Hirtenkäse, Paprika und einem hausgemachten Chili - Balsamicodressing, dazu scharfe Tortilla Chips, auf Wunsch mit Hähnchenbrustfilet","5,40/5,80"
"11.07.2017","suppencult","Mexikanischer Salat mit Kidney Bohnen, Mais, Oliven, Hirtenkäse, Paprika und einem hausgemachten Chili - Balsamicodressing, dazu scharfe Tortilla Chips, auf Wunsch mit Hähnchenbrustfilet","5,40/5,80"
"12.07.2017","suppencult","Mexikanischer Salat mit Kidney Bohnen, Mais, Oliven, Hirtenkäse, Paprika und einem hausgemachten Chili - Balsamicodressing, dazu scharfe Tortilla Chips, auf Wunsch mit Hähnchenbrustfilet","5,40/5,80"
"13.07.2017","suppencult","Mexikanischer Salat mit Kidney Bohnen, Mais, Oliven, Hirtenkäse, Paprika und einem hausgemachten Chili - Balsamicodressing, dazu scharfe Tortilla Chips, auf Wunsch mit Hähnchenbrustfilet","5,40/5,80"
"14.07.2017","suppencult","Mexikanischer Salat mit Kidney Bohnen, Mais, Oliven, Hirtenkäse, Paprika und einem hausgemachten Chili - Balsamicodressing, dazu scharfe Tortilla Chips, auf Wunsch mit Hähnchenbrustfilet","5,40/5,80"
"10.07.2017","suppencult","Soup au Pistou Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","4,30"
"11.07.2017","suppencult","Soup au Pistou Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","4,30"
"12.07.2017","suppencult","Soup au Pistou Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","4,30"
"13.07.2017","suppencult","Soup au Pistou Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","4,30"
"14.07.2017","suppencult","Soup au Pistou Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","4,30"
"10.07.2017","suppencult","Zucchinicrème mit Kokosmilch, Basilikum, Ingwer und Croutons","4,30"
"11.07.2017","suppencult","Zucchinicrème mit Kokosmilch, Basilikum, Ingwer und Croutons","4,30"
"12.07.2017","suppencult","Zucchinicrème mit Kokosmilch, Basilikum, Ingwer und Croutons","4,30"
"13.07.2017","suppencult","Zucchinicrème mit Kokosmilch, Basilikum, Ingwer und Croutons","4,30"
"14.07.2017","suppencult","Zucchinicrème mit Kokosmilch, Basilikum, Ingwer und Croutons","4,30"
"10.07.2017","suppencult","Erbsencrème mit Sahne und frischer Petersilie, auf Wunsch mit Würstchen","3,90/4,25"
"11.07.2017","suppencult","Erbsencrème mit Sahne und frischer Petersilie, auf Wunsch mit Würstchen","3,90/4,25"
"12.07.2017","suppencult","Erbsencrème mit Sahne und frischer Petersilie, auf Wunsch mit Würstchen","3,90/4,25"
"13.07.2017","suppencult","Erbsencrème mit Sahne und frischer Petersilie, auf Wunsch mit Würstchen","3,90/4,25"
"14.07.2017","suppencult","Erbsencrème mit Sahne und frischer Petersilie, auf Wunsch mit Würstchen","3,90/4,25"
"10.07.2017","suppencult","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","4,40"
"11.07.2017","suppencult","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","4,40"
"12.07.2017","suppencult","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","4,40"
"13.07.2017","suppencult","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","4,40"
"14.07.2017","suppencult","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","4,40"
"10.07.2017","suppencult","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","2,50/3,20"
"11.07.2017","suppencult","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","2,50/3,20"
"12.07.2017","suppencult","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","2,50/3,20"
"date","business","dish","price"
"10.07.2017","albert","Erbsensuppe mit Speck","3.90"
"10.07.2017","albert","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","5.00"
"10.07.2017","albert","Wurstgulasch mit Spirelli","5.70"
"11.07.2017","albert","Käse-Lauchsuppe","3.90"
"11.07.2017","albert","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","5.00"
"11.07.2017","albert","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","5.80"
"12.07.2017","albert","Altmärkische Gemüsesuppe mit Eierstich","3.90"
