"ingredients","location","price","business","dish","date"
"","Adlershof","6","FOOD","Gnocchimit Gorgonzola und Bacon","31.7.2017"
"Fish","Adlershof","7","FOOD","Das„Club Tuna“- Sandwichmit Thunfisch, Mayo, Salat, Tomaten und Bacon","31.7.2017"
"Fish","Adlershof","5","FOOD","Leckerergemischter Salatmit Thunfisch, Mais, Paprika und Vinaigrette","1.8.2017"
"","Adlershof","6","FOOD","Gnocchimit Gorgonzola und Bacon","1.8.2017"
"Fish","Adlershof","7","FOOD","Das„Club Tuna“- Sandwichmit Thunfisch, Mayo, Salat, Tomaten und Bacon","1.8.2017"
"Fish","Adlershof","5","FOOD","Leckerergemischter Salatmit Thunfisch, Mais, Paprika und Vinaigrette","2.8.2017"
"","Adlershof","6","FOOD","Gnocchimit Gorgonzola und Bacon","2.8.2017"
"Fish","Adlershof","7","FOOD","Das„Club Tuna“- Sandwichmit Thunfisch, Mayo, Salat, Tomaten und Bacon","2.8.2017"
"Fish","Adlershof","5","FOOD","Leckerergemischter Salatmit Thunfisch, Mais, Paprika und Vinaigrette","3.8.2017"
"","Adlershof","6","FOOD","Gnocchimit Gorgonzola und Bacon","3.8.2017"
"Fish","Adlershof","7","FOOD","Das„Club Tuna“- Sandwichmit Thunfisch, Mayo, Salat, Tomaten und Bacon","3.8.2017"
"Fish","Adlershof","5","FOOD","Leckerergemischter Salatmit Thunfisch, Mais, Paprika und Vinaigrette","4.8.2017"
"","Adlershof","6","FOOD","Gnocchimit Gorgonzola und Bacon","4.8.2017"
"Fish","Adlershof","7","FOOD","Das„Club Tuna“- Sandwichmit Thunfisch, Mayo, Salat, Tomaten und Bacon","4.8.2017"
"Vegetarian","Adlershof","5","FOOD","Caprese Salat","7.8.2017"
"","Adlershof","6","FOOD","Spätzlemit Spinat und Bacon","7.8.2017"
"","Adlershof","7","FOOD","Burger der Wochemit Rindfleisch, Emmentaler, Bacon, Rucola und gegrillter Paprika","7.8.2017"
"Vegetarian","Adlershof","5","FOOD","Caprese Salat","8.8.2017"
"","Adlershof","6","FOOD","Spätzlemit Spinat und Bacon","8.8.2017"
"","Adlershof","7","FOOD","Burger der Wochemit Rindfleisch, Emmentaler, Bacon, Rucola und gegrillter Paprika","8.8.2017"
"Vegetarian","Adlershof","5","FOOD","Caprese Salat","9.8.2017"
"","Adlershof","6","FOOD","Spätzlemit Spinat und Bacon","9.8.2017"
"","Adlershof","7","FOOD","Burger der Wochemit Rindfleisch, Emmentaler, Bacon, Rucola und gegrillter Paprika","9.8.2017"
"Vegetarian","Adlershof","5","FOOD","Caprese Salat","10.8.2017"
"","Adlershof","6","FOOD","Spätzlemit Spinat und Bacon","10.8.2017"
"","Adlershof","7","FOOD","Burger der Wochemit Rindfleisch, Emmentaler, Bacon, Rucola und gegrillter Paprika","10.8.2017"
"Vegetarian","Adlershof","5","FOOD","Caprese Salat","11.8.2017"
"","Adlershof","6","FOOD","Spätzlemit Spinat und Bacon","11.8.2017"
"","Adlershof","7","FOOD","Burger der Wochemit Rindfleisch, Emmentaler, Bacon, Rucola und gegrillter Paprika","11.8.2017"
