"price","dish","date","ingredients","business","location"
"5.9","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","17.7.2017","Vegetarian;Bio","Jouis Nour","Adlershof"
"4.5","Zucchinicremesuppe mit gerösteten Haferflocken","17.7.2017","Vegetarian;Soup;Bio","Jouis Nour","Adlershof"
"7.5","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","18.7.2017","Bio","Jouis Nour","Adlershof"
"5.9","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce","18.7.2017","Vegan;Vegetarian;Bio","Jouis Nour","Adlershof"
"4","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse","18.7.2017","Vegetarian;Soup;Bio","Jouis Nour","Adlershof"
"7.5","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons","19.7.2017","Bio","Jouis Nour","Adlershof"
"5.5","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat","19.7.2017","Vegetarian;Bio","Jouis Nour","Adlershof"
"4.5","Grüner Bohnen-Eintopf mit Sonnenblumenkernen","19.7.2017","Vegan;Vegetarian;Bio","Jouis Nour","Adlershof"
"7.9","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat","20.7.2017","Fish","Jouis Nour","Adlershof"
"5.9","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste","20.7.2017","Vegetarian;Bio","Jouis Nour","Adlershof"
"4","Kohlrabicreme-Suppe mit Schnittlauch","20.7.2017","Vegetarian;Soup;Bio","Jouis Nour","Adlershof"
"7","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree","21.7.2017","Bio","Jouis Nour","Adlershof"
"5.5","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto","21.7.2017","Vegetarian;Bio","Jouis Nour","Adlershof"
"4","Blumenkohl-Süppchen mit gerösteten Haferflocken","21.7.2017","Vegan;Vegetarian;Bio","Jouis Nour","Adlershof"
"7.5","Schaschlik-Spieß mit ungarische, Letscho und Reis","24.7.2017","Bio","Jouis Nour","Adlershof"
"5.9","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand","24.7.2017","Vegetarian;Bio","Jouis Nour","Adlershof"
"4","Paprika-Mais Suppe mit Sonnenblumenkerne","24.7.2017","Vegan;Vegetarian;Soup;Bio","Jouis Nour","Adlershof"
"7","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce","25.7.2017","Bio","Jouis Nour","Adlershof"
"5.9","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip","25.7.2017","Vegetarian;Bio","Jouis Nour","Adlershof"
"4","Champignon-Cremesuppe mit frischen Kräutern","25.7.2017","Vegetarian;Soup;Bio","Jouis Nour","Adlershof"
"7.5","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln","26.7.2017","Bio","Jouis Nour","Adlershof"
"5.9","Bandnudeln an Pfifferlingsrahm und Krischtomaten","26.7.2017","Vegetarian;Bio","Jouis Nour","Adlershof"
"4","Berliner Kartoffelsuppe mit Kräuterschmand","26.7.2017","Vegetarian;Soup;Bio","Jouis Nour","Adlershof"
"7.9","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat","27.7.2017","Fish","Jouis Nour","Adlershof"
"5.9","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip","27.7.2017","Vegetarian;Bio","Jouis Nour","Adlershof"
"4","Tomatencremesuppe mit Käse-Croutons","27.7.2017","Vegetarian;Soup;Bio","Jouis Nour","Adlershof"
"7.5","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln","28.7.2017","Bio","Jouis Nour","Adlershof"
"6","Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern","27.7.2017","Vegan;Vegetarian;Bio","Jouis Nour","Adlershof"
"4","Lauch-Rahmsüppchen mit Karotttenraspeln","27.7.2017","Vegetarian;Bio","Jouis Nour","Adlershof"
"price","dish","date","ingredients","business","location"
"4,70","Mexikanischer Rindfleischtopf mit Reis, Tomaten, Paprika, Zucchini, Chili, Crème fraiche und frischem Koriander","24.07.2017","","Suppencult","Alexanderplatz"
"4,70","Mexikanischer Rindfleischtopf mit Reis, Tomaten, Paprika, Zucchini, Chili, Crème fraiche und frischem Koriander","25.07.2017","","Suppencult","Alexanderplatz"
"4,70","Mexikanischer Rindfleischtopf mit Reis, Tomaten, Paprika, Zucchini, Chili, Crème fraiche und frischem Koriander","26.07.2017","","Suppencult","Alexanderplatz"
