"price","dish","date","ingredients","business","location"
"7","Das „Mr. Tentacles“- Sandwich mit Oktopus, Karottenpüree, Sellerie und Dill","21.7.2017","Fish","FOOD","Adlershof"
"5","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","24.7.2017","","FOOD","Adlershof"
"6","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","24.7.2017","Fish","FOOD","Adlershof"
"7","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","24.7.2017","","FOOD","Adlershof"
"5","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","25.7.2017","","FOOD","Adlershof"
"6","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","25.7.2017","Fish","FOOD","Adlershof"
"7","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","25.7.2017","","FOOD","Adlershof"
"5","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","26.7.2017","","FOOD","Adlershof"
"6","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","26.7.2017","Fish","FOOD","Adlershof"
"7","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","26.7.2017","","FOOD","Adlershof"
"5","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","27.7.2017","","FOOD","Adlershof"
"6","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","27.7.2017","Fish","FOOD","Adlershof"
"7","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","27.7.2017","","FOOD","Adlershof"
"5","Leckerergemischter Salatmit frittierten Chicken Fingers und Vinaigrette","28.7.2017","","FOOD","Adlershof"
"6","Pasta der Wochemit Pesto, Lachs und Cherrytomaten","28.7.2017","Fish","FOOD","Adlershof"
"7","Der„Happy Taste „- Burgermit Rindfleisch, Portobello Pilzen, Emmentaler, Rucola und Mayo","28.7.2017","","FOOD","Adlershof"
"4,25","Rote Linsen - Kokoscrème mit Chili und frischem Koriander","28.07.2017","","Suppencult","Alexanderplatz"
"4,40","Kalte litauische Rote Bete Suppe mit Buttermilch, Gurken und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","24.07.2017","Soup","Suppencult","Alexanderplatz"
"4,40","Kalte litauische Rote Bete Suppe mit Buttermilch, Gurken und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","25.07.2017","Soup","Suppencult","Alexanderplatz"
"4,40","Kalte litauische Rote Bete Suppe mit Buttermilch, Gurken und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","26.07.2017","Soup","Suppencult","Alexanderplatz"
"4,40","Kalte litauische Rote Bete Suppe mit Buttermilch, Gurken und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","27.07.2017","Soup","Suppencult","Alexanderplatz"
"4,40","Kalte litauische Rote Bete Suppe mit Buttermilch, Gurken und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","28.07.2017","Soup","Suppencult","Alexanderplatz"
"2,50/3,20","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","24.07.2017","Dessert","Suppencult","Alexanderplatz"
"2,50/3,20","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","25.07.2017","Dessert","Suppencult","Alexanderplatz"
"2,50/3,20","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","26.07.2017","Dessert","Suppencult","Alexanderplatz"
"2,50/3,20","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","27.07.2017","Dessert","Suppencult","Alexanderplatz"
"2,50/3,20","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","28.07.2017","Dessert","Suppencult","Alexanderplatz"
"2,80","Hausgemachtes Tiramisu","24.07.2017","","Suppencult","Alexanderplatz"
"2,80","Hausgemachtes Tiramisu","25.07.2017","","Suppencult","Alexanderplatz"
"2,80","Hausgemachtes Tiramisu","26.07.2017","","Suppencult","Alexanderplatz"
"2,80","Hausgemachtes Tiramisu","27.07.2017","","Suppencult","Alexanderplatz"
"2,80","Hausgemachtes Tiramisu","28.07.2017","","Suppencult","Alexanderplatz"
