"ingredients","business","dish","price","location","date"
"","Suppencult","Klare Hühnerbrühe mit Maultaschen und frischer Petersilie","4,30","Alexanderplatz","2017-09-12 00:00:00"
"","Suppencult","Klare Hühnerbrühe mit Maultaschen und frischer Petersilie","4,30","Alexanderplatz","2017-09-13 00:00:00"
"","Suppencult","Klare Hühnerbrühe mit Maultaschen und frischer Petersilie","4,30","Alexanderplatz","2017-09-14 00:00:00"
"","Suppencult","Klare Hühnerbrühe mit Maultaschen und frischer Petersilie","4,30","Alexanderplatz","2017-09-15 00:00:00"
"","Suppencult","Hausgemachte Lasagne Bolognese serviert mit einem frischen Salat","5,50","Alexanderplatz","2017-09-11 00:00:00"
"","Suppencult","Hausgemachte Lasagne Bolognese serviert mit einem frischen Salat","5,50","Alexanderplatz","2017-09-12 00:00:00"
"","Suppencult","Hausgemachte Lasagne Bolognese serviert mit einem frischen Salat","5,50","Alexanderplatz","2017-09-13 00:00:00"
"","Suppencult","Hausgemachte Lasagne Bolognese serviert mit einem frischen Salat","5,50","Alexanderplatz","2017-09-14 00:00:00"
"","Suppencult","Hausgemachte Lasagne Bolognese serviert mit einem frischen Salat","5,50","Alexanderplatz","2017-09-15 00:00:00"
"","Suppencult","Spinatsalat mit Hirtenkäse, Feldsalat, Kartoffeln, Lauchzwiebeln, Weintrauben und einem hausgemachten Senfdressing, auf Wunsch mit Hähnchenbrustfilet","5,40/5,80","Alexanderplatz","2017-09-11 00:00:00"
"","Suppencult","Spinatsalat mit Hirtenkäse, Feldsalat, Kartoffeln, Lauchzwiebeln, Weintrauben und einem hausgemachten Senfdressing, auf Wunsch mit Hähnchenbrustfilet","5,40/5,80","Alexanderplatz","2017-09-12 00:00:00"
"","Suppencult","Spinatsalat mit Hirtenkäse, Feldsalat, Kartoffeln, Lauchzwiebeln, Weintrauben und einem hausgemachten Senfdressing, auf Wunsch mit Hähnchenbrustfilet","5,40/5,80","Alexanderplatz","2017-09-13 00:00:00"
"ingredients","business","dish","price","location","date"
"","Esswirtschaft","Schweinegulasch mit Paprika, dazu Spiralnudeln","","Adlershof","2017-09-11 00:00:00"
"","Esswirtschaft","Schweinegulasch mit Paprika, dazu Spiralnudeln","","Adlershof","2017-09-12 00:00:00"
"","Esswirtschaft","Schweinegulasch mit Paprika, dazu Spiralnudeln","","Adlershof","2017-09-13 00:00:00"
"","Esswirtschaft","Schweinegulasch mit Paprika, dazu Spiralnudeln","","Adlershof","2017-09-14 00:00:00"
"","Esswirtschaft","Schweinegulasch mit Paprika, dazu Spiralnudeln","","Adlershof","2017-09-15 00:00:00"
"","Esswirtschaft","Classic Cobb-Crispy Salat mit gebratenem Hähnchen, Cheddar, Tomaten, Ei, Bacon und Zwiebeln","","Adlershof","2017-09-11 00:00:00"
"","Esswirtschaft","Classic Cobb-Crispy Salat mit gebratenem Hähnchen, Cheddar, Tomaten, Ei, Bacon und Zwiebeln","","Adlershof","2017-09-12 00:00:00"
"","Esswirtschaft","Classic Cobb-Crispy Salat mit gebratenem Hähnchen, Cheddar, Tomaten, Ei, Bacon und Zwiebeln","","Adlershof","2017-09-13 00:00:00"
"","Esswirtschaft","Classic Cobb-Crispy Salat mit gebratenem Hähnchen, Cheddar, Tomaten, Ei, Bacon und Zwiebeln","","Adlershof","2017-09-14 00:00:00"
"","Esswirtschaft","Classic Cobb-Crispy Salat mit gebratenem Hähnchen, Cheddar, Tomaten, Ei, Bacon und Zwiebeln","","Adlershof","2017-09-15 00:00:00"
"Vegetarian","Esswirtschaft","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","","Adlershof","2017-09-11 00:00:00"
"Vegetarian","Esswirtschaft","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","","Adlershof","2017-09-12 00:00:00"
"Vegetarian","Esswirtschaft","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","","Adlershof","2017-09-13 00:00:00"
"Vegetarian","Esswirtschaft","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","","Adlershof","2017-09-14 00:00:00"
"Vegetarian","Esswirtschaft","Kartoffelsalat im Glas mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","","Adlershof","2017-09-15 00:00:00"
"Soup","Esswirtschaft","Thailändische gelbe Currysuppe mit Geflügelstreifen","","Adlershof","2017-09-11 00:00:00"
"Soup","Esswirtschaft","Thailändische gelbe Currysuppe mit Geflügelstreifen","","Adlershof","2017-09-12 00:00:00"
"Soup","Esswirtschaft","Thailändische gelbe Currysuppe mit Geflügelstreifen","","Adlershof","2017-09-13 00:00:00"
"Soup","Esswirtschaft","Thailändische gelbe Currysuppe mit Geflügelstreifen","","Adlershof","2017-09-14 00:00:00"
"Soup","Esswirtschaft","Thailändische gelbe Currysuppe mit Geflügelstreifen","","Adlershof","2017-09-15 00:00:00"
"","Esswirtschaft","Südamerikanisches Erdnuss-Mangosüppchen","","Adlershof","2017-09-11 00:00:00"
"","Esswirtschaft","Südamerikanisches Erdnuss-Mangosüppchen","","Adlershof","2017-09-12 00:00:00"
