"business","location","ingredients","date","dish","price"
"Suppencult","Alexanderplatz","Fish","21.08.2017","Löwensenf Crème mit Lachsstreifen, Crème fraiche und frischem Dill","4,30"
"Suppencult","Alexanderplatz","Fish","22.08.2017","Löwensenf Crème mit Lachsstreifen, Crème fraiche und frischem Dill","4,30"
"Suppencult","Alexanderplatz","Fish","23.08.2017","Löwensenf Crème mit Lachsstreifen, Crème fraiche und frischem Dill","4,30"
"Suppencult","Alexanderplatz","Fish","24.08.2017","Löwensenf Crème mit Lachsstreifen, Crème fraiche und frischem Dill","4,30"
"Suppencult","Alexanderplatz","Fish","25.08.2017","Löwensenf Crème mit Lachsstreifen, Crème fraiche und frischem Dill","4,30"
"Suppencult","Alexanderplatz","","21.08.2017","Blattspinat mit Kartoffeln, Rührei und frischem Schnittlauch","5,50"
"Suppencult","Alexanderplatz","","22.08.2017","Blattspinat mit Kartoffeln, Rührei und frischem Schnittlauch","5,50"
"Suppencult","Alexanderplatz","","23.08.2017","Blattspinat mit Kartoffeln, Rührei und frischem Schnittlauch","5,50"
"Suppencult","Alexanderplatz","","24.08.2017","Blattspinat mit Kartoffeln, Rührei und frischem Schnittlauch","5,50"
"Suppencult","Alexanderplatz","","25.08.2017","Blattspinat mit Kartoffeln, Rührei und frischem Schnittlauch","5,50"
"Suppencult","Alexanderplatz","","21.08.2017","Birnen - Walnusssalat mit Pennenudeln, Hirtenkäse, Rucola, Eisbergsalat, Tomaten, Gurken, Birnenstücken und einem hausgemachten Walnussdressing","5,40/5,80"
"Suppencult","Alexanderplatz","","22.08.2017","Birnen - Walnusssalat mit Pennenudeln, Hirtenkäse, Rucola, Eisbergsalat, Tomaten, Gurken, Birnenstücken und einem hausgemachten Walnussdressing","5,40/5,80"
"Suppencult","Alexanderplatz","","23.08.2017","Birnen - Walnusssalat mit Pennenudeln, Hirtenkäse, Rucola, Eisbergsalat, Tomaten, Gurken, Birnenstücken und einem hausgemachten Walnussdressing","5,40/5,80"
"business","location","ingredients","date","dish","price"
"Albert","Adlershof","Vegetarian;Soup","21.08.2017","Tomaten-Orangensuppe mit Basilkum","3.90"
"Albert","Adlershof","Vegetarian","21.08.2017","Gefüllte Zucchini mit Tomate & Mozzarella, Kräutersauce & Reis","5.00"
"Albert","Adlershof","","21.08.2017","Wildgulasch mit Rotkohl & Klößen","5.80"
"Albert","Adlershof","","22.08.2017","Kartoffel-Wirsingtopf mit Kasseler","3.90"
"Albert","Adlershof","Vegetarian","22.08.2017","Vegetarische Auberginen-Moussaka mit Schafskäse überbacken","5.00"
"Albert","Adlershof","","22.08.2017","Rosmarinbraten mit Ratatouille & Kartoffelecken","5.80"
"Albert","Adlershof","Vegetarian;Soup","23.08.2017","Grüne Erbsensuppe mit Minze","3.90"
"Albert","Adlershof","Vegetarian","23.08.2017","Schupfnudelpfanne mit grünen Bohnen & Champignons","5.00"
"Albert","Adlershof","","23.08.2017","Hähnchengeschnetzeltes in Honig-Senfsauce, Karottengemüse& Farfalle","5.80"
"Albert","Adlershof","","24.08.2017","Pichelsteiner Eintopf mit Petersilie","3.90"
"Albert","Adlershof","Vegetarian","24.08.2017","Linsenurry mit Korianderreis & Sprossen","5.00"
