"date","ingredients","price","location","business","dish"
"17.07.2017","Soup;Vegetarian","3.90","Adlershof","Albert","Blumenkohlcremesuppe mit Croutons"
"17.07.2017","Vegetarian","5.00","Adlershof","Albert","Linguine mit Waldpilzsauce & Rucola"
"17.07.2017","Fish","5.90","Adlershof","Albert","Seelachsfilet im Knuspermantel auf Kohlrabi-Karottenrahm & Wasabi-Kartoffelpüree"
"18.07.2017","Soup","3.90","Adlershof","Albert","Pikante Maiscremesuppe mit Hähnchenbruststreifen"
"18.07.2017","Vegetarian","5.00","Adlershof","Albert","Karotten-Sesam-Knusperschnitzel mit Schnittlauchsauce & Reis"
"18.07.2017","","5.80","Adlershof","Albert","Geschnetzeltes „Züricher Art“ mit Champignons & Spätzle"
"19.07.2017","","3.90","Adlershof","Albert","Weiße Bohneneintopf mit Rindfleisch"
"19.07.2017","Vegetarian","5.00","Adlershof","Albert","Cannelloni mit Spinat-Ricottafüllung, Tomatensauce & Mozzarella"
"19.07.2017","","5.80","Adlershof","Albert","Hähnchenbrust in Senf-Estragonsauce mit Broccoli & Reis"
"20.07.2017","Soup;Vegetarian","3.90","Adlershof","Albert","Gemüsesuppe mit Maultaschenstreifen"
"20.07.2017","Vegetarian","5.00","Adlershof","Albert","Lauchquiche mit gemischtem Salat & Honig-Senfdressing"
"20.07.2017","","5.80","Adlershof","Albert","Saltimbocca von der Hähnchenbrust auf Spaghetti mit mediterranem Tomatenragout & Parmesan"
"21.07.2017","","3.90","Adlershof","Albert","Kohlrabieintopf mit Kasseler"
"21.07.2017","Vegetarian","5.00","Adlershof","Albert","Käsespätzle mit Röstzwiebeln"
"21.07.2017","","5.80","Adlershof","Albert","Mit Hackfleisch gefüllte Kohlroulade auf Kartoffelstampf"
"date","ingredients","price","location","business","dish"
"17.07.2017","","","Adlershof","Esswirtschaft","Schweinegulasch mit Paprika, dazu Spiralnudeln"
"18.07.2017","","","Adlershof","Esswirtschaft","Schweinegulasch mit Paprika, dazu Spiralnudeln"
"19.07.2017","","","Adlershof","Esswirtschaft","Schweinegulasch mit Paprika, dazu Spiralnudeln"
"20.07.2017","","","Adlershof","Esswirtschaft","Schweinegulasch mit Paprika, dazu Spiralnudeln"
"21.07.2017","","","Adlershof","Esswirtschaft","Schweinegulasch mit Paprika, dazu Spiralnudeln"
"17.07.2017","","","Adlershof","Esswirtschaft","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing"
"18.07.2017","","","Adlershof","Esswirtschaft","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing"
"19.07.2017","","","Adlershof","Esswirtschaft","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing"
"20.07.2017","","","Adlershof","Esswirtschaft","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing"
"21.07.2017","","","Adlershof","Esswirtschaft","Bulgur- Kichererbsensalat mit Sellerie und Thousand Island Dressing"
"17.07.2017","Vegan;Vegetarian","","Adlershof","Esswirtschaft","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing"
"18.07.2017","Vegan;Vegetarian","","Adlershof","Esswirtschaft","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing"
"19.07.2017","Vegan;Vegetarian","","Adlershof","Esswirtschaft","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing"
"20.07.2017","Vegan;Vegetarian","","Adlershof","Esswirtschaft","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing"
"21.07.2017","Vegan;Vegetarian","","Adlershof","Esswirtschaft","Quinoasalat im Glas mit Rotkohl, Datteln, Gemüsezwiebeln und Sanddorn-Dressing"
"17.07.2017","Soup","","Adlershof","Esswirtschaft","Südtiroler Berglinsensuppe mit Kasseler"
"18.07.2017","Soup","","Adlershof","Esswirtschaft","Südtiroler Berglinsensuppe mit Kasseler"
"19.07.2017","Soup","","Adlershof","Esswirtschaft","Südtiroler Berglinsensuppe mit Kasseler"
"20.07.2017","Soup","","Adlershof","Esswirtschaft","Südtiroler Berglinsensuppe mit Kasseler"
"21.07.2017","Soup","","Adlershof","Esswirtschaft","Südtiroler Berglinsensuppe mit Kasseler"
"17.07.2017","Soup","","Adlershof","Esswirtschaft","Klare Glasnudelsuppe mit Geflügelstreifen"
"18.07.2017","Soup","","Adlershof","Esswirtschaft","Klare Glasnudelsuppe mit Geflügelstreifen"
"19.07.2017","Soup","","Adlershof","Esswirtschaft","Klare Glasnudelsuppe mit Geflügelstreifen"
"20.07.2017","Soup","","Adlershof","Esswirtschaft","Klare Glasnudelsuppe mit Geflügelstreifen"
"21.07.2017","Soup","","Adlershof","Esswirtschaft","Klare Glasnudelsuppe mit Geflügelstreifen"
"17.07.2017","Vegan;Soup;Vegetarian","","Adlershof","Esswirtschaft","Vegane Karottensuppe"
"18.07.2017","Vegan;Soup;Vegetarian","","Adlershof","Esswirtschaft","Vegane Karottensuppe"
"19.07.2017","Vegan;Soup;Vegetarian","","Adlershof","Esswirtschaft","Vegane Karottensuppe"
"20.07.2017","Vegan;Soup;Vegetarian","","Adlershof","Esswirtschaft","Vegane Karottensuppe"
"21.07.2017","Vegan;Soup;Vegetarian","","Adlershof","Esswirtschaft","Vegane Karottensuppe"
"17.07.2017","","","Adlershof","Esswirtschaft","Hähnchen-Nudel-Pfanne indonesisch"
"17.07.2017","Vegetarian","","Adlershof","Esswirtschaft","Pilzragout “Stroganoff” mit Spinatspätzle und Crème fraîche"
"18.07.2017","","","Adlershof","Esswirtschaft","Topf vom Kräuterschwein mit weißen und grünen Bohnen, dazu Salzkartoffeln"
"18.07.2017","Vegetarian","","Adlershof","Esswirtschaft","Pappardelle mit Mandel – Spinat – Sauce"
"19.07.2017","","","Adlershof","Esswirtschaft","Tandoori Huhn mit Erdnuss, Kreuzkümmel dazu Basmatireis"
"19.07.2017","Vegan;Vegetarian","","Adlershof","Esswirtschaft","Klassisches Ratatouille mit Kartoffelgnocchi"
"20.07.2017","","","Adlershof","Esswirtschaft","Geschmorte Rinderschulter mit Karotten und Kartoffelstampf"
"date","ingredients","price","location","business","dish"
"14.7.2017","Bio","7.5","Adlershof","Jouis Nour","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat"
"14.7.2017","Bio;Vegetarian","5.9","Adlershof","Jouis Nour","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip"
"14.7.2017","Soup;Bio;Vegetarian","4.5","Adlershof","Jouis Nour","Zucchinicremesuppe mit gerösteten Haferflocken"
"17.7.2017","Bio","7.5","Adlershof","Jouis Nour","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip"
"17.7.2017","Bio;Vegetarian","5.9","Adlershof","Jouis Nour","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce"
"17.7.2017","Soup;Bio;Vegetarian","4.5","Adlershof","Jouis Nour","Zucchinicremesuppe mit gerösteten Haferflocken"
"18.7.2017","Bio","7.5","Adlershof","Jouis Nour","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark"
"18.7.2017","Vegan;Bio;Vegetarian","5.9","Adlershof","Jouis Nour","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce"
"18.7.2017","Soup;Bio;Vegetarian","4","Adlershof","Jouis Nour","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse"
"19.7.2017","Bio","7.5","Adlershof","Jouis Nour","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons"
"19.7.2017","Bio;Vegetarian","5.5","Adlershof","Jouis Nour","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat"
"19.7.2017","Vegan;Bio;Vegetarian","4.5","Adlershof","Jouis Nour","Grüner Bohnen-Eintopf mit Sonnenblumenkernen"
"20.7.2017","Fish","7.9","Adlershof","Jouis Nour","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat"
"20.7.2017","Bio;Vegetarian","5.9","Adlershof","Jouis Nour","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste"
"20.7.2017","Soup;Bio;Vegetarian","4","Adlershof","Jouis Nour","Kohlrabicreme-Suppe mit Schnittlauch"
"21.7.2017","Bio","7","Adlershof","Jouis Nour","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree"
"21.7.2017","Bio;Vegetarian","5.5","Adlershof","Jouis Nour","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto"
"21.7.2017","Vegan;Bio;Vegetarian","4","Adlershof","Jouis Nour","Blumenkohl-Süppchen mit gerösteten Haferflocken"
"24.7.2017","Bio","7.5","Adlershof","Jouis Nour","Schaschlik-Spieß mit ungarische, Letscho und Reis"
"24.7.2017","Bio;Vegetarian","5.9","Adlershof","Jouis Nour","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand"
"24.7.2017","Vegan;Soup;Bio;Vegetarian","4","Adlershof","Jouis Nour","Paprika-Mais Suppe mit Sonnenblumenkerne"
"25.7.2017","Bio","7","Adlershof","Jouis Nour","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce"
"25.7.2017","Bio;Vegetarian","5.9","Adlershof","Jouis Nour","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip"
"25.7.2017","Soup;Bio;Vegetarian","4","Adlershof","Jouis Nour","Champignon-Cremesuppe mit frischen Kräutern"
"26.7.2017","Bio","7.5","Adlershof","Jouis Nour","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln"
"26.7.2017","Bio;Vegetarian","5.9","Adlershof","Jouis Nour","Bandnudeln an Pfifferlingsrahm und Krischtomaten"
"26.7.2017","Soup;Bio;Vegetarian","4","Adlershof","Jouis Nour","Berliner Kartoffelsuppe mit Kräuterschmand"
"27.7.2017","Fish","7.9","Adlershof","Jouis Nour","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat"
"27.7.2017","Bio;Vegetarian","5.9","Adlershof","Jouis Nour","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip"
"27.7.2017","Soup;Bio;Vegetarian","4","Adlershof","Jouis Nour","Tomatencremesuppe mit Käse-Croutons"
"28.7.2017","Bio","7.5","Adlershof","Jouis Nour","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln"
"27.7.2017","Vegan;Bio;Vegetarian","6","Adlershof","Jouis Nour","Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern"
"27.7.2017","Bio;Vegetarian","4","Adlershof","Jouis Nour","Lauch-Rahmsüppchen mit Karotttenraspeln"
"date","ingredients","price","location","business","dish"
"17.07.2017","","5,90","Adlershof","La Petite","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken"
